InstanceID,ISBN,HitNDLsearch,LocateNow,LocateInit,CountBorrow
250331_205742,9784798177236,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250401_064113,9784774192598,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250401_070458,9784065369579,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065028,9784761274634,0,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065041,9784761274634,0,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065128,9784761274634,0,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065604,9784761274634,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065645,9784532321864,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065734,9784326301614,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065829,9784532168865,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_065956,9784865811421,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_070040,9784779506109,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_070517,9784341087784,0,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_070553,9784818404700,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_070619,9784062207034,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
250610_070700,9784492315163,1,KSZ-2-19-7-302,KSZ-2-19-7-302,0
