ISBN,Title,Author,Publisher,IssueYear,Price,categoryNumber,Thumbnail
9784798177236,"動かして学ぶ!Rust入門 : 基本的な文法・機能から簡単なアプリの開発手法までしっかり学べる","mebiusbox 著","翔泳社",2023,3600,0,1
9784774192598,"かんたんVisual C++","堀義博 著","技術評論社",2017,2980,0,0
9784065369579,"RustによるWebアプリケーション開発 : 設計からリリース・運用まで","豊田優貴, 松本健太郎, 吉川哲史 著","講談社",2024,4000,0,1
9784761274634,"3000年の叡智を学べる戦略図鑑","鈴木博毅 著","かんき出版",2019,1600,3,1
9784532321864,"ビジネス名著大全","橋本忠明 著","日本経済新聞出版社",2017,2500,3,1
9784326301614,"紛争の戦略 : ゲーム理論のエッセンス","トーマス・シェリング 著","勁草書房",2008,3800,3,1
9784532168865,"第二次世界大戦影の主役 : 勝利を実現した革新者たち","ポール・ケネディ 著","日本経済新聞出版社",2013,3500,3,1
9784865811421,"渋沢栄一日本の経営哲学を確立した男","山本七平 著","さくら舎",2018,1500,2,1
9784779506109,"経営は哲学なり","野中郁次郎 編","ナカニシヤ出版",2012,2000,3,1
9784341087784,"井深大の箴言 2025年のパラダイムシフト 21世紀日本の盛衰は ""時のリーダー""で決まる!","豊島文雄","ごま書房新社",2020,1400,3,0
9784818404700,"私を変えた聖書の言葉","日野原重明 他著","日本キリスト教団出版局",2002,1800,1,0
9784062207034,"人生の役に立つ聖書の名言","佐藤優 著","講談社",2017,1400,1,1
9784492315163,"暴力と不平等の人類史 : 戦争・革命・崩壊・疫病","ウォルター・シャイデル 著","東洋経済新報社",2019,5400,3,1
